datetime,option_type,atm_term_structure
2017-05-12,沽,-0.00019351632910982278
2017-05-12,购,-0.005822538366602584
2017-05-15,沽,-0.007696848114722166
2017-05-15,购,-0.01192825320513335
2017-05-16,沽,-0.00978740908676193
2017-05-16,购,-0.01302784195545475
2017-05-17,沽,-0.005203422275517482
2017-05-17,购,0.01047629650926019
2017-05-18,沽,-0.010385912951567027
2017-05-18,购,-0.0009660774982485569
2017-05-19,沽,-0.004870189251514361
2017-05-19,购,0.010181845101324728
2017-05-22,沽,-0.004135941450634281
2017-05-22,购,-0.009196671486111417
2017-05-23,沽,-0.016561628487755917
2017-05-23,购,0.006268383915731201
2017-05-24,沽,-0.12036754604844334
2017-05-24,购,0.0049059970726749455
2017-05-25,沽,-0.008905229876657787
2017-05-25,购,-0.007595607724354221
2017-05-26,沽,-0.00542916092195308
2017-05-26,购,0.01402177803346538
2017-05-31,沽,-0.009518324728209722
2017-05-31,购,0.004991964940276431
2017-06-01,沽,-0.007573784227607397
2017-06-01,购,0.008423721579849594
2017-06-02,沽,-0.008853960332991765
2017-06-02,购,0.007359301554664254
2017-06-05,沽,-0.009959349933750816
2017-06-05,购,0.006610163678509962
2017-06-06,沽,-0.007374746681566128
2017-06-06,购,0.008894635739435507
2017-06-07,沽,-0.008212385358192374
2017-06-07,购,0.005760934606799207
2017-06-08,沽,-0.009887242637999366
2017-06-08,购,0.005323901453985033
2017-06-09,沽,-0.006932208904077707
2017-06-09,购,0.010235093278975798
2017-06-12,沽,-0.009213791790612668
2017-06-12,购,0.00853962410811027
2017-06-13,沽,-0.008743536672273759
2017-06-13,购,0.008970432753265013
2017-06-14,沽,-0.011194422832097263
2017-06-14,购,0.007671742103979217
2017-06-15,沽,-0.007301536887459548
2017-06-15,购,0.004794602969650823
2017-06-16,沽,-0.006774201246524201
2017-06-16,购,0.00839466805603825
2017-06-19,沽,-0.010573278128095671
2017-06-19,购,0.0005457234756245415
2017-06-20,沽,-0.012691199525308894
2017-06-20,购,0.0027635614017643456
2017-06-21,沽,-0.005637885382562693
2017-06-21,购,0.009567218237490344
2017-06-22,沽,-0.00986373090311939
2017-06-22,购,0.007762266424960932
2017-06-23,沽,-0.005114737648490197
2017-06-23,购,0.010900397339827617
2017-06-26,沽,-0.0022939357281149264
2017-06-26,购,0.010327743336214591
2017-06-27,沽,0.008230329978409874
2017-06-27,购,0.01250300380006938
2017-06-28,沽,-0.016458486517522453
2017-06-28,购,0.03280540209055857
2017-06-29,沽,-0.01104717800002422
2017-06-29,购,0.008665376529526035
2017-06-30,沽,-0.015350759925767314
2017-06-30,购,0.003592426383742082
2017-07-03,沽,-0.012275874843209944
2017-07-03,购,0.0071902003158638315
2017-07-04,沽,-0.007997970419493516
2017-07-04,购,0.009644670567206658
2017-07-05,沽,-0.008570160280010519
2017-07-05,购,0.007474596416895243
2017-07-06,沽,-0.008045278397341659
2017-07-06,购,0.008909488343081548
2017-07-07,沽,-0.008320540336984365
2017-07-07,购,0.008803454291070194
2017-07-10,沽,-0.010327146467187328
2017-07-10,购,0.006759878134305472
2017-07-11,沽,-0.013364811294309638
2017-07-11,购,0.006794478748473229
2017-07-12,沽,-0.01250872232589349
2017-07-12,购,0.005310298664212937
2017-07-13,沽,-0.009006247961211774
2017-07-13,购,0.009957511956125657
2017-07-14,沽,0.024679767817873365
2017-07-14,购,-0.004553671457466772
2017-07-17,沽,0.02211688094291244
2017-07-17,购,-0.014051365593852238
